Scenario,Bandwidth result,Horn result,Verdict,Interpretation
Broad cosmic source + linear propagation effects,0.9997227923687568,Steady signal repeats unless propagation changes it,Rejected by bandwidth,"The time trace is easy to mimic, but adjacent channels remain almost equally bright."
Intrinsically narrow cosmic transient + propagation effects,0.009440792600990785,Passes if it fades by >14.8 dB,Physically possible,"Exponential fading needs tau < 50.4 s, or switch-off during the ~105 s window."
Steady narrow celestial source with strong scintillation,0.009440792600990785,"Can miss the second horn, but repeated independent follow-ups dominate",Nearly rejected as a persistent source,Toy all-miss probability is 3.199e-05 after 3 independent epochs and 3.224e-08 after 5; scintillation only helps compact sources.
3-30 MHz OTH signals through linear or low-order nonlinear path,,No 1420 MHz low-order product,Rejected,Second- and third-order positive products top out at 90 MHz.
Very-high-order harmonic from a single OTH/HF carrier,0.009440792600990785,Still needs favorable coupling geometry,"Mathematically possible, physically strained",At least harmonic order 48 is required from 30 MHz.
Two strong UHF tones create IM2/IM3 in nonlinear electronics,0.009440792600990785,Conditional on nonlinear stage and sidelobe coupling,Live instrumental-artifact pathway,Radiometer-corrected target is -148.8 dBm; IIP3=-10 dBm needs ~-56.3 dBm per tone.
Symmetric terrestrial RFI in both horn paths,,Strongly cancelled by differencing,Strongly constrained,Near-equal horn coupling requires an enormous common signal to leave 30.5 sigma residual.
Asymmetric sidelobe RFI,,Can favor one feed by many dB,Only weakly constrained by horn differencing,"With 10-20 dB power-coupling asymmetry, the stronger path need only be about 31-34 sigma."
Continuous narrow celestial source without propagation modulation,0.009440792600990785,Predicts ~30.5 sigma again,Rejected by horn plus persistence,"Without intrinsic intermittency or propagation modulation, it should have appeared in the second horn and in later observations."
Compact narrow intermittent source,0.009440792600990785,Can evade both horn and later observations,Conditional; duty cycle depends on coverage,"Allowed duty cycle depends strongly on independent epochs, coverage, sensitivity and drift-frequency coverage."
Stochastic narrowband repeater,0.009440792600990785,Non-repetition constrains the repeat rate,"Tension, not complete exclusion",The 192-hour benchmark strongly disfavors frequent repeaters but still permits sufficiently rare events.
Extended or broadband source invoking deep scintillation,0.9997227923687568,Deep scintillation is quenched by source extent,Rejected,The scintillation escape hatch applies only to very compact sources and does not reopen the broadband/extended class.
